comparison,treatment,control,budget_words,kind,endpoint,metric,delta,lo,hi,p_value,n,cohens_dz
oracle_minus_conditioned,oracle,conditioned,40,specialisation_did,now_minus_future,f1,-0.6431969246031746,-0.7266696221891533,-0.5675411292989418,0.0,16,-3.8326620097448583
oracle_minus_conditioned,oracle,conditioned,40,specialisation_did,now_minus_future,judge_correct,-0.8,-0.8625,-0.73125,0.0,16,-5.809475019311126
oracle_minus_conditioned,oracle,conditioned,80,utility,now,em,-0.09375,-0.203125,0.0,0.113,16,-0.42369951214952406
oracle_minus_conditioned,oracle,conditioned,80,utility,now,f1,-0.03211805555555556,-0.10121527777777778,0.03507812499999988,0.3478,16,-0.22603614428412117
oracle_minus_conditioned,oracle,conditioned,80,utility,now,judge_correct,-0.0625,-0.125,-0.015625,0.0412,16,-0.5590169943749475
oracle_minus_conditioned,oracle,conditioned,80,utility,future,em,0.5854166666666667,0.51875,0.6552083333333333,0.0,16,4.113418807478067
oracle_minus_conditioned,oracle,conditioned,80,utility,future,f1,0.6304307208994709,0.574051525297619,0.6886180555555556,0.0,16,5.325744904154106
oracle_minus_conditioned,oracle,conditioned,80,utility,future,judge_correct,0.7333333333333334,0.6729166666666666,0.7854166666666667,0.0,16,6.141195788629907
oracle_minus_conditioned,oracle,conditioned,80,utility,gap,em,-0.6791666666666667,-0.7614843749999999,-0.5854166666666667,0.0,16,-3.6943820733797406
oracle_minus_conditioned,oracle,conditioned,80,utility,gap,f1,-0.6625487764550265,-0.71565767609127,-0.598280361276455,0.0,16,-5.293548790740464
oracle_minus_conditioned,oracle,conditioned,80,utility,gap,judge_correct,-0.7958333333333334,-0.8239583333333333,-0.7635416666666667,0.0,16,-12.612459233114558
oracle_minus_conditioned,oracle,conditioned,80,regret,now,em,0.09375,0.0,0.203125,0.113,16,0.42369951214952406
oracle_minus_conditioned,oracle,conditioned,80,regret,now,f1,0.03211805555555556,-0.03507812499999996,0.10121527777777778,0.349,16,0.2260361442841212
oracle_minus_conditioned,oracle,conditioned,80,regret,now,judge_correct,0.0625,0.015625,0.125,0.0412,16,0.5590169943749475
oracle_minus_conditioned,oracle,conditioned,80,regret,future,em,-0.5854166666666667,-0.6552083333333333,-0.51875,0.0,16,-4.113418807478066
oracle_minus_conditioned,oracle,conditioned,80,regret,future,f1,-0.6304307208994709,-0.6886180555555557,-0.574051525297619,0.0,16,-5.325744904154106
oracle_minus_conditioned,oracle,conditioned,80,regret,future,judge_correct,-0.7333333333333334,-0.7854166666666668,-0.6729166666666666,0.0,16,-6.141195788629907
oracle_minus_conditioned,oracle,conditioned,80,retained,now,em,-0.08854166666666667,-0.22395833333333334,0.03125000000000001,0.1918,16,-0.3305950116357397
oracle_minus_conditioned,oracle,conditioned,80,retained,now,f1,-0.03402777777777778,-0.10660590277777778,0.039930555555555566,0.3544,16,-0.2256300312526089
oracle_minus_conditioned,oracle,conditioned,80,retained,now,judge_correct,-0.0625,-0.125,-0.015625,0.0412,16,-0.5590169943749475
oracle_minus_conditioned,oracle,conditioned,80,retained,future,em,0.6859906586469087,0.6111147229506605,0.7546617900328837,0.0,16,4.589096783634648
